id_servico,id_atestado,servico,unidade,quantidade,observacoes
ef733965-e6a,2c0fe2b8-2d3,Volume de Concreto,m³,1250,
0ec46dee-6f1,2c0fe2b8-2d3,Área de Forma,m²,900,
d8ea8022-7ed,2c0fe2b8-2d3,Brita 3,m³,800,
5f5727d4-0a1,2c0fe2b8-2d3,Mangueira Cristal,ML,2400,
3705976e-1ac,2c0fe2b8-2d3,Mastique,kg,1725,
c984c4f6-054,2c0fe2b8-2d3,Lona Plástica Impermeabilizante,m²,5200,
32c11f63-35c,2c0fe2b8-2d3,Tubo PVC Rígido,m,88,
042e0591-12c,2c0fe2b8-2d3,Chapa de Aço Inox (250x250x19mm),un,24,
e2607b32-ac9,2c0fe2b8-2d3,Tela de Aço CA-60,kg,38954,
1dc1251e-187,2c0fe2b8-2d3,Aço CA-50A,kg,50428,
3fa748be-64a,4b5b4d83-fbe,Execução de fundação direta em concreto armado,m³,35,
ff530f02-d0f,4b5b4d83-fbe,Execução de estrutura em concreto armado,m³,29,
6e959981-3ec,4b5b4d83-fbe,Execução de laje treliça,m²,253.7,
11f8eec1-906,4b5b4d83-fbe,Alvenaria em bloco aparente (15cm),m²,190,
2ce3142f-fc5,4b5b4d83-fbe,Alvenaria em bloco comum (10cm),m²,75,
b40cf305-32f,4b5b4d83-fbe,Alvenaria em bloco comum (15cm),m²,65.25,
f5acf1f3-8df,4b5b4d83-fbe,Fornecimento e colocação de esquadrias de alumínio,m²,60,
059b1f47-f77,4b5b4d83-fbe,Fornecimento e colocação de portas comum para pintura,un,8,
857b78e7-307,4b5b4d83-fbe,Fornec. e colocação divisória de granilite p/sanitário,m²,18,
408516a4-606,4b5b4d83-fbe,Revestimento forros/paredes internas (chapisco/emboço/reboco),m²,526,
ca4e128d-b5a,4b5b4d83-fbe,Revestimento de paredes com azulejo,m²,342,
dfbb533e-176,4b5b4d83-fbe,Execução de contrapiso em concreto armado,m³,9.5,
6113abd6-93e,4b5b4d83-fbe,Execução de piso em cerâmica esmaltada grês,m²,70.6,
2a0c8eaf-925,4b5b4d83-fbe,Execução de piso cimentado queimado,m²,54.62,
9403d496-07d,4b5b4d83-fbe,Execução de impermeabilização com manta butílica,m²,253.7,
5ad3e92d-d06,4b5b4d83-fbe,Fornec. e instalação de armários c/bancadas p/oficinas,un,4,
a1f1dcac-7c9,4b5b4d83-fbe,Execução de estufa,un,1,
7c6e8809-caf,4b5b4d83-fbe,Execução de prateleiras com chapas wall,un,2,
5a8dd0b7-2bb,4b5b4d83-fbe,Fornecimento e instalação de vidro comum,m²,60,
25ba9130-7b9,4b5b4d83-fbe,Pintura com latex comum,m²,526,
a9f90749-908,4b5b4d83-fbe,Pintura com silicone,m²,190,
7aec939e-54a,4b5b4d83-fbe,Demolição de forro em chapa eucatex,m²,262,
55d5e704-a8d,4b5b4d83-fbe,Demolição de divisórias de escritório,m²,235,
ab8dc15a-efa,4b5b4d83-fbe,Demolição de pisos cerâmicos,m²,36,
ad8c3823-c02,4b5b4d83-fbe,Demolição de alvenaria,m²,17,
f0599fb1-1a1,4b5b4d83-fbe,Remoção de azulejos,m²,133,
fe03b099-d35,4b5b4d83-fbe,Desmontagem de máquina de tração,un,1,
e0cedf4a-857,4b5b4d83-fbe,Execução de alvenaria de bloco comum (10cm),m²,26,
905a5539-c31,4b5b4d83-fbe,Fornecimento e instalação de esquadrias alumínio comum,m²,30,
8133b1f5-871,4b5b4d83-fbe,Fornec. e inst. de esquadrias de alumínio acústica,m²,32,
cc457f51-66c,4b5b4d83-fbe,Fornec. e montagem divisórias escritório (formiplac),m²,66,
9386df36-9a1,4b5b4d83-fbe,Execução de piso de regularização p/ paviflex,m²,262,
c889aeef-7f6,4b5b4d83-fbe,Execução de piso cerâmico,m²,25,
aa08303d-2c4,4b5b4d83-fbe,Execução de piso paviflex TP2000,m²,262,
bc8740a2-59d,4b5b4d83-fbe,Revestimento interno paredes (chapisco/emboço/reboco),m²,68,
64c219cb-582,4b5b4d83-fbe,Revestimento de paredes com azulejo,m²,85,
a2cf2e3e-747,4b5b4d83-fbe,Execução de forro falso tipo Fibrarroc,m²,262,
c3462f88-d12,4b5b4d83-fbe,Execução de armários laboratório (madeira/inox),m²,8,
a72f19be-d83,4b5b4d83-fbe,Execução de armários e balcão copa (granilite),m²,3,
5510e13c-593,4b5b4d83-fbe,Fornec. e inst. exaustor com coifa aço inox,un,1,
120542ed-fe8,4b5b4d83-fbe,Ar condicionado Springer 21.000 BTU,un,15,
4c5b0880-8b3,4b5b4d83-fbe,Fornecimento e instalação de vidro acústico,m²,32,
be50eb98-171,4b5b4d83-fbe,Fornecimento e instalação de vidro comum,m²,30,
aa75e5c7-63f,4b5b4d83-fbe,"Projetos Realizados: Arquitetônico, Estrutural, Instalações hidráulicas, Instalações elétricas, telefônicas, de informática e sonorização, Rede de ar comprimido e ""As built""",un,1,
0670eddf-14c,6b96af57-4f5,Escavação manual,M3,166.97,
ab4920a6-833,6b96af57-4f5,Escoramento descontínuo,M2,105.35,
b9c549fa-07a,6b96af57-4f5,Compactação manual,M3,58.49,
86bed7e8-e8b,6b96af57-4f5,Assentamento de calhas de concreto diâmetro 30,ML,165.5,
191c7d5f-70d,6b96af57-4f5,Assentamento de tubos de concreto simples Diâmetro 30,ML,60,
e3c25ded-576,6b96af57-4f5,Assentamento de tubos de concreto simples diâmetro 50 cm,ML,99,
7f629923-27b,6b96af57-4f5,"Execução de concreto simples traço 1:2:4 (cimento, areia, pedra)",M3,36.43,
fb894358-391,6b96af57-4f5,"Execução de concreto armado traço 1:2:4 (cimento, areia, pedra)",M3,52.13,
8f15ea2c-454,6b96af57-4f5,Alvenaria 1/2 tijolo,M2,10.18,
f1072c09-330,6b96af57-4f5,Alvenaria 01 tijolo,M2,28.78,
5b578d37-b79,6b96af57-4f5,Alvenaria bloco concreto 19x39x10 cm,M2,11.2,
eb2e3754-3c6,6b96af57-4f5,Alvenaria bloco concreto 19x39x15 cm,M2,65.37,
baf3b9d0-1ea,6b96af57-4f5,Alvenaria bloco concreto 19x39x20 cm,M2,126.3,
e6cad2d5-145,6b96af57-4f5,Chapisco,M2,304.98,
ee03e2fb-fc7,6b96af57-4f5,Revestimento grosso (emboço),M2,331.9,
b408d3b0-d4d,6b96af57-4f5,Revestimento fino (reboco/massa fina),M2,130.53,
805b8614-fe7,6b96af57-4f5,Remoção de revestimento,M2,124.95,
3907a62d-84c,6b96af57-4f5,Assentamento de azulejos,M2,187.63,
6d9e214f-0f2,6b96af57-4f5,Assentamento de piso cerâmica,M2,88.7,
b7b4afd7-13f,6b96af57-4f5,Preparação de superfície de alvenaria com massa corrida,M2,1739.86,
9f89b2da-155,6b96af57-4f5,Preparação de superfície de alvenaria com massa acrílica,M2,2506.15,
dd0d809e-345,6b96af57-4f5,Prep. superfície alvenaria fundo preparador/selador,M2,3813.39,
b9bde289-c18,6b96af57-4f5,Acabamento com aplicação de um demão tinta latex PVA,M2,7115.67,
b23c5608-d1c,6b96af57-4f5,Pintura a cal,M2,2128.23,
8a686e6e-7a8,6b96af57-4f5,Preparação de superfície de madeira com massa à óleo,M2,5.25,
349f83c2-30a,6b96af57-4f5,"Acabamento com tinta esmalte, à óleo ou verniz",M2,2292.64,
6c474d47-5b4,6b96af57-4f5,Limpeza com solvente,M2,21.88,
cc8f81e9-ff6,6b96af57-4f5,Preparação de superfície por lixamento manual,M2,2875.89,
4a829787-800,6b96af57-4f5,Preparação de superfície por jateamento abrasivo,M2,637.39,
6d507f29-38b,6b96af57-4f5,Aplicação de 1 demão de tinta de fundo N-1850,M2,2049.12,
088607fe-a51,6b96af57-4f5,"Aplicação de 1 demão de ""WASH-PRIMER"" N-126 1C",M2,276.79,
9442c539-b86,6b96af57-4f5,Pintura acabamento 1 demão tinta esmalte N-1232 A,M2,621.68,
ee987cca-f7f,6b96af57-4f5,Pintura acabamento 1 demão tinta acrílica N-1197,M2,1075.52,
2f8bf03e-67d,6b96af57-4f5,Pintura acabamento 1 demão tinta alumínio fenólica N-1259,M2,2571.94,
f19b932c-4b8,6b96af57-4f5,Fornecimento de caminhão basculante (6 M3),HS,168.5,
1ee4d93a-195,6b96af57-4f5,Fornecimento de retroescavadeira,HS,147.5,
349a5118-b4d,6b96af57-4f5,Fornecimento de martelete pneumático com compressor,HS,8,
9a6bf23b-a74,6b96af57-4f5,Fornecimento de pedrisco,M3,3,
fcfcecd3-43b,6b96af57-4f5,Fornecimento de brita 1,M3,305.17,
9b3bdba6-9fa,6b96af57-4f5,Limpeza de tanques e Sump-Tanks de claros,M2,1274.6,
e77c49fc-334,6b96af57-4f5,Retirada de resíduos de fundo de tanques,M3,67.65,
020a22c3-0d3,6b96af57-4f5,Limpeza do compartimento de filtragem do SAO,UN,2,
8b66b399-93d,6b96af57-4f5,Limpeza do compartimento de óleo recuperado do SAO,UN,1,
48aa7849-20a,6b96af57-4f5,Limpeza do compartimento de entrada do SAO,UN,4,
5806270c-095,6b96af57-4f5,Limpeza do compartimento de saída de emergência do SAO,UN,1,
0a8b4c44-2c3,6b96af57-4f5,Limpeza de produtos claros,M2,1029,
9928efae-587,6b96af57-4f5,Lavagem externa de tanques,M2,22042.16,
360e93a6-eaf,6b96af57-4f5,Fornecimento de profissional (encanador),HS,1721.67,
77b21bc4-2fd,6b96af57-4f5,Fornecimento de profissional (marceneiro),HS,2089.67,
369a0f79-771,6b96af57-4f5,Limpeza geral da área,mês,10.75,
2e40632b-9df,0ae3a8e1-71e,Projeto completo,GL,1,
b3167fa6-146,0ae3a8e1-71e,Retiradas e demolições,M²,53,
37ba1070-975,0ae3a8e1-71e,Regularização e Assentamento de Piso Vinílico e cerâmica,M²,87,
ebf1669c-80a,0ae3a8e1-71e,Fornecimento e instalação de forro termo-acústico (inclusive estrutura metálica),M²,95,
4d3d3a58-0d3,0ae3a8e1-71e,Fornecimento e instalação de porta e prolongamento das divisórias de madeira,M²,40,
