role_id,modulo,recurso,acao,efeito
6dfd17e6-4c4d-4a79-bc29-802010f57788,prestacao_contas,despesa,criar,allow
4ae8befd-2f3f-4d40-96c3-0f41f5a36de5,prestacao_contas,decisao_despesa,aprovar,allow
dd9524ef-e1b9-4ac8-a468-885dd4cc6fce,dados,atestado,criar,allow
dd9524ef-e1b9-4ac8-a468-885dd4cc6fce,dados,atestado,editar,allow
dd9524ef-e1b9-4ac8-a468-885dd4cc6fce,dados,local_trabalho,criar,allow
dd9524ef-e1b9-4ac8-a468-885dd4cc6fce,obras,obra,visualizar,allow
34760418-2346-436a-aabe-5488769c40b4,prestacao_contas,pagamento,editar,allow
34760418-2346-436a-aabe-5488769c40b4,prestacao_contas,tipo_despesa,visualizar,allow
34760418-2346-436a-aabe-5488769c40b4,prestacao_contas,tipo_despesa,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,crm,cliente,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,crm,cliente,editar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,crm,cliente,visualizar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,crm,contato,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,crm,contato,editar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,crm,contato,visualizar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,crm,interacao,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,crm,interacao,visualizar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,dados,atestado,visualizar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,ferias,ferias,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,ferias,ferias,editar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,ferias,ferias,excluir,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,ferias,folga,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,ferias,folga,editar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,ferias,folga,excluir,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,ferias,registro,visualizar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,uniformes_epis,baixa,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,uniformes_epis,compra,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,uniformes_epis,devolucao,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,uniformes_epis,entrega,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,uniformes_epis,estoque,visualizar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,uniformes_epis,item,criar,allow
d6434336-0f02-4674-b4e7-d338e8bb44a6,uniformes_epis,movimentacao,criar,allow
